alpha,D,n,trial,t_EFT,t_EST,t_SD,count_EFT,count_EST,count_SD
0.1,10,1024,1,0.00045400000090012327,0.00044499999785330147,0.00044049999996786937,232,163,8
0.1,10,1024,2,0.0004528999998001382,0.0004455999951460399,0.00043729999742936343,228,161,5
0.1,10,1024,3,0.00047449999692616984,0.0004442999997991137,0.00043110000115120783,229,153,8
0.1,10,1024,4,0.00048769999557407573,0.0004717999981949106,0.00044720000005327165,228,160,8
0.1,10,1024,5,0.0005739999978686683,0.0005553000009967946,0.0004650999981095083,233,149,5
0.1,10,1024,6,0.0005176000049686991,0.00048039999819593504,0.0005115999956615269,230,159,7
0.1,10,1024,7,0.0004625000001396984,0.0004578000007313676,0.00044490000436780974,231,160,7
0.1,10,1024,8,0.0004593999983626418,0.0004543000031844713,0.00046329999895533547,226,160,6
0.1,10,1024,9,0.00045849999878555536,0.00044269999489188194,0.00043849999929079786,237,161,7
0.1,10,1024,10,0.0004797000001417473,0.0004956999982823618,0.00043339999683666974,231,165,10
0.1,10,2048,1,0.0009281000020564534,0.0009114999993471429,0.0009252000018022954,460,317,7
0.1,10,2048,2,0.0010771999950520694,0.0010085000030812807,0.0010015000007115304,463,312,5
0.1,10,2048,3,0.0009213000012096018,0.0009062999961315654,0.0009363999997731298,456,302,5
0.1,10,2048,4,0.0009436000036657788,0.0010679999977583066,0.001256999996257946,453,311,5
0.1,10,2048,5,0.0009131000042543747,0.0008901000037440099,0.0009457000051042996,455,323,7
0.1,10,2048,6,0.001032899999700021,0.0010591000027488917,0.001018400005705189,446,318,7
0.1,10,2048,7,0.0008955000012065284,0.0008939000035752542,0.0008753000001888722,454,301,10
0.1,10,2048,8,0.0010354000041843392,0.000923999999940861,0.0008929999967222102,461,324,7
0.1,10,2048,9,0.0009074999979929999,0.0008965000015450642,0.0010925999958999455,442,307,8
0.1,10,2048,10,0.0009118000016314909,0.0008932000055210665,0.0008478999952785671,455,321,8
0.1,10,4096,1,0.0020975000006728806,0.0018479000063962303,0.002308300005097408,929,619,10
0.1,10,4096,2,0.0018855000016628765,0.002005899994401261,0.0019413000045460649,904,635,5
0.1,10,4096,3,0.0018564999991212972,0.0018471000003046356,0.0019065999949816614,919,623,7
0.1,10,4096,4,0.001825699997425545,0.002111399997374974,0.0017402000012225471,920,620,8
0.1,10,4096,5,0.0018334000051254407,0.0018123999980161898,0.0018829999971785583,918,629,6
0.1,10,4096,6,0.0018204999942099676,0.001845099999627564,0.0017417999988538213,899,629,6
0.1,10,4096,7,0.0019735999958356842,0.0018137000006390736,0.001803500003006775,924,625,10
0.1,10,4096,8,0.001883500000985805,0.0019570000004023314,0.0017539000036776997,901,645,13
0.1,10,4096,9,0.0019925000015064143,0.0021741000018664636,0.0020148000039625913,935,627,7
0.1,10,4096,10,0.0018599000031827018,0.0019859000021824613,0.0017840000000433065,915,642,10
0.1,10,8192,1,0.00388589999784017,0.003842500002065208,0.0036748000056832097,1819,1252,8
0.1,10,8192,2,0.004031899996334687,0.003881500000716187,0.003700699999171775,1847,1275,9
0.1,10,8192,3,0.004193499997199979,0.004421899997396395,0.0036140000011073425,1819,1280,13
0.1,10,8192,4,0.0037057000008644536,0.003886500002408866,0.0037933999992674217,1817,1277,8
0.1,10,8192,5,0.004230800004734192,0.0039450000040233135,0.0036841999972239137,1811,1272,11
0.1,10,8192,6,0.003798600002482999,0.004143000005569775,0.003942000003007706,1855,1280,6
0.1,10,8192,7,0.003965199997765012,0.003849900000204798,0.003840700002911035,1836,1269,4
0.1,10,8192,8,0.004221199997118674,0.0040463999976054765,0.0037193999960436486,1823,1246,8
0.1,10,8192,9,0.0038623000000370666,0.003963199997087941,0.0036479000045801513,1840,1240,7
0.1,10,8192,10,0.00400880000233883,0.003945500000554603,0.003708199998072814,1822,1235,8
0.1,10,16384,1,0.008515400004398543,0.008033699996303767,0.0076763999968534335,3684,2502,12
0.1,10,16384,2,0.007944299999508075,0.007779799998388626,0.0076945000037085265,3675,2530,12
0.1,10,16384,3,0.008103499996650498,0.007611100001668092,0.007318600000871811,3683,2582,12
0.1,10,16384,4,0.008150499998009764,0.007384099997580051,0.007906099999672733,3670,2537,11
0.1,10,16384,5,0.008757199997489806,0.008152299997163936,0.007891399996879045,3668,2543,9
0.1,10,16384,6,0.0076868000032845885,0.008114500000374392,0.008084499997494277,3640,2512,10
0.1,10,16384,7,0.00820699999894714,0.008350900003279094,0.007711499994911719,3669,2543,13
0.1,10,16384,8,0.008207999999285676,0.008274100000562612,0.007309000000532251,3633,2513,7
0.1,10,16384,9,0.00824319999810541,0.007827800000086427,0.007473800003936049,3682,2514,9
0.1,10,16384,10,0.008405000000493601,0.00873449999926379,0.007914400004665367,3628,2530,17
0.1,10,32768,1,0.01777099999890197,0.018686800001887605,0.016066600001067854,7322,5033,8
0.1,10,32768,2,0.017274000005272683,0.017460399998526555,0.015500599998631515,7286,5050,11
0.1,10,32768,3,0.01683979999506846,0.017378399999870453,0.015621600003214553,7322,5077,14
0.1,10,32768,4,0.015549699994153343,0.016840500000398606,0.016054600004281383,7300,5033,14
0.1,10,32768,5,0.01757240000006277,0.016927599994232878,0.015689200001361314,7300,5043,8
0.1,10,32768,6,0.01627120000193827,0.016349800003808923,0.01493559999653371,7312,5027,10
0.1,10,32768,7,0.016073300001153257,0.015952000001561828,0.015437499998370185,7271,5056,5
0.1,10,32768,8,0.016742499996325932,0.01672600000165403,0.015566299996862654,7338,5102,9
0.1,10,32768,9,0.016330300000845455,0.016182200000912417,0.015619199999491684,7334,5044,8
0.1,10,32768,10,0.01657149999664398,0.016262799996184185,0.014820800002780743,7308,5009,1
0.1,10,65536,1,0.03346060000330908,0.03381269999954384,0.029381000000284985,14569,10117,9
0.1,10,65536,2,0.03414880000491394,0.034476699998776894,0.030975299996498507,14639,10089,12
0.1,10,65536,3,0.0333427000005031,0.03417289999924833,0.029903800001193304,14585,10074,10
0.1,10,65536,4,0.03475169999728678,0.034321500002988614,0.02947449999919627,14592,10015,11
0.1,10,65536,5,0.03289010000298731,0.032407899998361245,0.028834400000050664,14564,10040,11
0.1,10,65536,6,0.03317860000242945,0.03422740000678459,0.03052900000329828,14705,10085,11
0.1,10,65536,7,0.03485739999450743,0.03614740000193706,0.030561699997633696,14599,10030,12
0.1,10,65536,8,0.034454799999366514,0.034029199996439274,0.030370500004210044,14657,10142,14
0.1,10,65536,9,0.035429799994744826,0.03464439999515889,0.029445799998939037,14659,10111,1
0.1,10,65536,10,0.035274800000479445,0.03479730000253767,0.03026089999912074,14695,10097,9
0.1,10,131072,1,0.0713711999997031,0.07004690000030678,0.06072649999987334,29252,20081,11
0.1,10,131072,2,0.07295149999845307,0.08934269999735989,0.06120999999984633,29255,20175,11
0.1,10,131072,3,0.07411010000214446,0.07092469999770401,0.06226500000047963,29379,20227,10
0.1,10,131072,4,0.0851494000016828,0.07519239999965066,0.06619749999663327,29192,20187,10
0.1,10,131072,5,0.07776780000131112,0.07510900000488618,0.06498980000469601,29251,20134,11
0.1,10,131072,6,0.0754843000031542,0.07525580000219634,0.06176170000253478,29370,20281,11
0.1,10,131072,7,0.07662539999728324,0.06983870000112802,0.06039920000330312,29285,20185,13
0.1,10,131072,8,0.0760768999971333,0.0750320000006468,0.06452600000193343,29230,20054,10
0.1,10,131072,9,0.07545860000391258,0.07183290000102716,0.06384399999660673,29259,20131,11
0.1,10,131072,10,0.07559250000485918,0.07918909999716561,0.06461490000219783,29414,20299,17
0.1,10,262144,1,0.16222250000282656,0.14862189999985276,0.1272409000011976,58502,40303,12
0.1,10,262144,2,0.17012350000004517,0.15788510000129463,0.1347609999938868,58558,40385,10
0.1,10,262144,3,0.1539351999963401,0.1600581999955466,0.1302572999993572,58508,40358,14
0.1,10,262144,4,0.14713060000212863,0.1482936999964295,0.12769249999837484,58389,40444,11
0.1,10,262144,5,0.14858960000128718,0.14949909999995725,0.12781660000473494,58589,40413,9
0.1,10,262144,6,0.15312319999793544,0.14704550000169547,0.12539909999759402,58544,40242,8
0.1,10,262144,7,0.15329729999939445,0.15025389999937033,0.13774589999957243,58484,40205,10
0.1,10,262144,8,0.15383599999768194,0.15512350000062725,0.12921130000177072,58622,40321,9
0.1,10,262144,9,0.1535615999964648,0.15330169999651844,0.13220830000500428,58592,40369,9
0.1,10,262144,10,0.15409329999965848,0.1489205000034417,0.12908400000014808,58746,40332,14
0.1,10,524288,1,0.32743670000490965,0.309872700003325,0.2907705999969039,116948,80546,13
0.1,10,524288,2,0.30586740000580903,0.297161500006041,0.25889659999666037,117182,80613,12
0.1,10,524288,3,0.3432725999955437,0.3206484999973327,0.26050080000277376,117136,80470,8
0.1,10,524288,4,0.32190219999756664,0.3686667000001762,0.26838750000024447,117258,80754,12
0.1,10,524288,5,0.3156068000025698,0.3060948999991524,0.2600382000018726,116994,80817,8
0.1,10,524288,6,0.3083755000043311,0.2993456999975024,0.259444600000279,117011,80393,9
0.1,10,524288,7,0.3077391999977408,0.30066599999554455,0.2585049999979674,117005,80729,13
0.1,10,524288,8,0.3029623000038555,0.3006632000033278,0.2575183999942965,116860,80727,12
0.1,10,524288,9,0.30829540000559064,0.3131329999960144,0.2554673999984516,116925,80673,19
0.1,10,524288,10,0.3065243000019109,0.2982188999958453,0.25448680000408785,117033,80367,15
0.1,10,1048576,1,0.6124964999980875,0.6088597999987542,0.5176350999972783,234189,161397,15
0.1,10,1048576,2,0.6227488000004087,0.6123242999965441,0.508743800004595,234197,161360,17
0.1,10,1048576,3,0.6258550999991712,0.6117689999955473,0.5215462999985903,233776,161319,15
0.1,10,1048576,4,0.6124571000036667,0.6112177999966661,0.5155525999944075,234158,161366,17
0.1,10,1048576,5,0.661977099996875,0.6233685999977752,0.5197396000003209,233984,161338,10
0.1,10,1048576,6,0.6317912999948021,0.6233057999997982,0.5218389999936335,233881,161198,8
0.1,10,1048576,7,0.6366957999998704,0.6160069999968982,0.5173715000055381,234232,161333,9
0.1,10,1048576,8,0.6329240999984904,0.6182456000024104,0.5177178000012645,233937,161239,17
0.1,10,1048576,9,0.6304342000003089,0.6180500999980723,0.5141165999957593,234554,161289,11
0.1,10,1048576,10,0.6291335999994772,0.6226590000005672,0.5349274999971385,234023,161405,11
1.0,10,1024,1,0.0005196000056457706,0.0005051000043749809,0.0004716000039479695,673,659,5
1.0,10,1024,2,0.0005282999991322868,0.0005162999950698577,0.0005124000017531216,694,676,7
1.0,10,1024,3,0.0005418000000645407,0.0006168000036268495,0.0005156000042916276,708,692,6
1.0,10,1024,4,0.0005480999971041456,0.0006012000012560748,0.0005855999988853,669,650,9
1.0,10,1024,5,0.0005576000039582141,0.0005131999932928011,0.0005728999967686832,681,663,9
1.0,10,1024,6,0.000622200001089368,0.0005564000020967796,0.0005410000012489036,653,638,7
1.0,10,1024,7,0.0006794000000809319,0.000571900003706105,0.0005311999993864447,674,649,5
1.0,10,1024,8,0.00056820000463631,0.0005321999997249804,0.0005166000046301633,684,670,2
1.0,10,1024,9,0.0005071999985375442,0.0005055000001448207,0.0004611000040313229,684,679,6
1.0,10,1024,10,0.0005440999957500026,0.00072340000042459,0.0005421000023488887,686,669,8
1.0,10,2048,1,0.0010881999987759627,0.0010747999986051582,0.0009834000011323951,1352,1315,8
1.0,10,2048,2,0.0010855000000447035,0.0010378000006312504,0.000989699998172,1355,1317,9
1.0,10,2048,3,0.0010140000013052486,0.0010273000007146038,0.0010416000004624948,1394,1361,11
1.0,10,2048,4,0.0010021999987657182,0.0010469999979250133,0.0011529999974300154,1366,1330,4
1.0,10,2048,5,0.0012347000010777265,0.0010962000014842488,0.001285000005736947,1355,1321,4
1.0,10,2048,6,0.001094899998861365,0.001072899998689536,0.0010745000035967678,1350,1324,7
1.0,10,2048,7,0.0011269000024185516,0.0010792999964905903,0.001068599995051045,1333,1294,11
1.0,10,2048,8,0.0010561000017332844,0.0010240999981760979,0.0009831000061240047,1353,1311,8
1.0,10,2048,9,0.0012806999948224984,0.001207000001159031,0.0010013999999500811,1351,1314,11
1.0,10,2048,10,0.001050400001986418,0.0012515999987954274,0.0011411000014049932,1375,1359,13
1.0,10,4096,1,0.0021634000004269183,0.002360999998927582,0.002040700004727114,2683,2612,8
1.0,10,4096,2,0.0024190999974962324,0.002129299995431211,0.0018943000031867996,2697,2620,11
1.0,10,4096,3,0.0020979999972041696,0.0021660999991581775,0.0020769999973708764,2706,2632,11
1.0,10,4096,4,0.0021601999978884123,0.002109000000928063,0.0021969000008539297,2711,2643,10
1.0,10,4096,5,0.0021743000033893622,0.0022945999953662977,0.002248799995868467,2711,2649,9
1.0,10,4096,6,0.0022533000010298565,0.0021723999961977825,0.0020030999949085526,2679,2615,10
1.0,10,4096,7,0.0024135999992722645,0.0022693000064464286,0.002091499998641666,2701,2649,14
1.0,10,4096,8,0.002169699997466523,0.0021863000001758337,0.0020523999992292374,2714,2659,10
1.0,10,4096,9,0.0021238999979686923,0.0021338000005926006,0.0020547999956761487,2703,2626,13
1.0,10,4096,10,0.00203719999990426,0.001986400005989708,0.002006000002438668,2701,2623,5
1.0,10,8192,1,0.004339799997978844,0.004603599998517893,0.0037604999961331487,5358,5229,9
1.0,10,8192,2,0.00453410000045551,0.004735499998787418,0.004119599994737655,5402,5271,9
1.0,10,8192,3,0.00417619999643648,0.004491300001973286,0.0037222000028123148,5397,5260,13
1.0,10,8192,4,0.004514300002483651,0.004302000001189299,0.0037331999992602505,5420,5286,6
1.0,10,8192,5,0.004637400001229253,0.0046091999975033104,0.00397289999818895,5416,5286,8
1.0,10,8192,6,0.004387100001622457,0.004663599997002166,0.004743800003780052,5432,5284,10
1.0,10,8192,7,0.004559400003927294,0.00473259999853326,0.004107499997189734,5415,5274,12
1.0,10,8192,8,0.004599899999448098,0.004700199999206234,0.004097400000318885,5439,5333,8
1.0,10,8192,9,0.004711300003691576,0.004905599998892285,0.0038850999990245327,5474,5338,4
1.0,10,8192,10,0.004782500000146683,0.004517699999269098,0.003798300000198651,5412,5278,7
1.0,10,16384,1,0.009553099996992387,0.009223699998983648,0.008058899999014102,10869,10591,10
1.0,10,16384,2,0.008756099996389821,0.009279599995352328,0.007870199995522853,10864,10614,9
1.0,10,16384,3,0.008467600004223641,0.009289299996453337,0.007699299996602349,10822,10555,4
1.0,10,16384,4,0.009041299999807961,0.009200899999996182,0.008447199994407129,10804,10503,6
1.0,10,16384,5,0.008604700000432786,0.009161699999822304,0.0076800999959232286,10830,10547,14
1.0,10,16384,6,0.009089799998037051,0.009112700005061924,0.008079700004600454,10784,10523,9
1.0,10,16384,7,0.008931299998948816,0.009337600000435486,0.007829900001524948,10882,10616,9
1.0,10,16384,8,0.008900799999537412,0.009287100001529325,0.007517899997765198,10796,10532,9
1.0,10,16384,9,0.009312100002716761,0.009162299997115042,0.008147900000039954,10858,10601,8
1.0,10,16384,10,0.009020299999974668,0.009281500002543908,0.007675699998799246,10821,10567,14
1.0,10,32768,1,0.019843800000671763,0.019922400002542417,0.01651069999934407,21667,21163,11
1.0,10,32768,2,0.01934379999875091,0.019301200001791585,0.01594370000384515,21724,21179,11
1.0,10,32768,3,0.018591799998830538,0.019901500003470574,0.016110500000650063,21680,21115,8
1.0,10,32768,4,0.018860100004530977,0.01878279999800725,0.015799500004504807,21658,21136,12
1.0,10,32768,5,0.018593099994177464,0.019551900004444178,0.016343299997970462,21594,21083,5
